Istasyon_No,Istasyon_Adi,YIL,AY,value,Enlem,Boylam,Rakim,var
17250,NIGDE,1970,1,-8.6,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1970,2,-11.5,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1970,3,-4.9,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1970,4,-1.2,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1970,5,2.3,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1970,6,8.6,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1970,7,11.9,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1970,8,7.6,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1970,9,2.6,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1970,10,-0.6,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1970,11,-1.1,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1970,12,-14.7,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1971,1,-10.4,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1971,2,-11.4,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1971,3,-9.2,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1971,4,-1,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1971,5,3.4,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1971,6,5.6,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1971,7,9.9,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1971,8,8.2,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1971,9,4.9,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1971,10,-5.2,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1971,11,-4.8,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
17250,NIGDE,1971,12,-9.7,37.9587,34.6795,1211,MINIMUM_SICAKLIK_C
