Istasyon_No,Istasyon_Adi,YIL,AY,value,Enlem,Boylam,Rakim,var
99999,BEYSEHIR,1970,1,-5.4,37.6777,31.7463,1141,MINIMUM_SICAKLIK_C
99999,BEYSEHIR,1970,2,-8.4,37.6777,31.7463,1141,MINIMUM_SICAKLIK_C
99999,BEYSEHIR,1970,3,-4,37.6777,31.7463,1141,MINIMUM_SICAKLIK_C
99999,BEYSEHIR,1970,4,0,37.6777,31.7463,1141,MINIMUM_SICAKLIK_C
99999,BEYSEHIR,1970,5,2.1,37.6777,31.7463,1141,MINIMUM_SICAKLIK_C
99999,BEYSEHIR,1970,6,7.5,37.6777,31.7463,1141,MINIMUM_SICAKLIK_C
99999,BEYSEHIR,1970,7,12.7,37.6777,31.7463,1141,MINIMUM_SICAKLIK_C
99999,BEYSEHIR,1970,8,7.4,37.6777,31.7463,1141,MINIMUM_SICAKLIK_C
99999,BEYSEHIR,1970,9,0.7,37.6777,31.7463,1141,MINIMUM_SICAKLIK_C
99999,BEYSEHIR,1970,10,-1.8,37.6777,31.7463,1141,MINIMUM_SICAKLIK_C
99999,BEYSEHIR,1970,11,0,37.6777,31.7463,1141,MINIMUM_SICAKLIK_C
99999,BEYSEHIR,1970,12,-10.4,37.6777,31.7463,1141,MINIMUM_SICAKLIK_C
99999,BEYSEHIR,1971,1,-7.1,37.6777,31.7463,1141,MINIMUM_SICAKLIK_C
99999,BEYSEHIR,1971,2,-9.8,37.6777,31.7463,1141,MINIMUM_SICAKLIK_C
99999,BEYSEHIR,1971,3,-9.9,37.6777,31.7463,1141,MINIMUM_SICAKLIK_C
99999,BEYSEHIR,1971,4,-0.9,37.6777,31.7463,1141,MINIMUM_SICAKLIK_C
99999,BEYSEHIR,1971,5,5.9,37.6777,31.7463,1141,MINIMUM_SICAKLIK_C
99999,BEYSEHIR,1971,6,7.9,37.6777,31.7463,1141,MINIMUM_SICAKLIK_C
99999,BEYSEHIR,1971,7,11.4,37.6777,31.7463,1141,MINIMUM_SICAKLIK_C
99999,BEYSEHIR,1971,8,10.5,37.6777,31.7463,1141,MINIMUM_SICAKLIK_C
99999,BEYSEHIR,1971,9,8,37.6777,31.7463,1141,MINIMUM_SICAKLIK_C
99999,BEYSEHIR,1971,10,-3.4,37.6777,31.7463,1141,MINIMUM_SICAKLIK_C
99999,BEYSEHIR,1971,11,-2,37.6777,31.7463,1141,MINIMUM_SICAKLIK_C
99999,BEYSEHIR,1971,12,-11.3,37.6777,31.7463,1141,MINIMUM_SICAKLIK_C
99999,BEYSEHIR,1972,1,-16,37.6777,31.7463,1141,MINIMUM_SICAKLIK_C
99999,BEYSEHIR,1972,2,-19.4,37.6777,31.7463,1141,MINIMUM_SICAKLIK_C
99999,BEYSEHIR,1972,3,-7.4,37.6777,31.7463,1141,MINIMUM_SICAKLIK_C
99999,BEYSEHIR,1972,4,-2.9,37.6777,31.7463,1141,MINIMUM_SICAKLIK_C
99999,BEYSEHIR,1972,5,4.6,37.6777,31.7463,1141,MINIMUM_SICAKLIK_C
99999,BEYSEHIR,1972,6,8.7,37.6777,31.7463,1141,MINIMUM_SICAKLIK_C
99999,BEYSEHIR,1972,7,9.7,37.6777,31.7463,1141,MINIMUM_SICAKLIK_C
99999,BEYSEHIR,1972,8,12.6,37.6777,31.7463,1141,MINIMUM_SICAKLIK_C
99999,BEYSEHIR,1972,9,8.6,37.6777,31.7463,1141,MINIMUM_SICAKLIK_C
99999,BEYSEHIR,1972,10,-2.1,37.6777,31.7463,1141,MINIMUM_SICAKLIK_C
99999,BEYSEHIR,1972,11,-7.6,37.6777,31.7463,1141,MINIMUM_SICAKLIK_C
99999,BEYSEHIR,1972,12,-11.3,37.6777,31.7463,1141,MINIMUM_SICAKLIK_C
99999,BEYSEHIR,1973,1,-14.6,37.6777,31.7463,1141,MINIMUM_SICAKLIK_C
99999,BEYSEHIR,1973,2,-7.6,37.6777,31.7463,1141,MINIMUM_SICAKLIK_C
99999,BEYSEHIR,1973,3,-9.2,37.6777,31.7463,1141,MINIMUM_SICAKLIK_C
99999,BEYSEHIR,1973,4,0,37.6777,31.7463,1141,MINIMUM_SICAKLIK_C
99999,BEYSEHIR,1973,5,3.4,37.6777,31.7463,1141,MINIMUM_SICAKLIK_C
99999,BEYSEHIR,1973,6,8.6,37.6777,31.7463,1141,MINIMUM_SICAKLIK_C
